DQN Training Log
Episode 161, Reward: -21.00, Loss: 0.0000, Epsilon: 0.446
Episode 162, Reward: -33.00, Loss: 0.0000, Epsilon: 0.444
Episode 163, Reward: -35.00, Loss: 0.0000, Epsilon: 0.442
Episode 164, Reward: -27.00, Loss: 0.0000, Epsilon: 0.440
Episode 165, Reward: -14.00, Loss: 0.0000, Epsilon: 0.437
Episode 166, Reward: -47.00, Loss: 0.0000, Epsilon: 0.435
Episode 167, Reward: -33.00, Loss: 0.0000, Epsilon: 0.433
Episode 168, Reward: -30.00, Loss: 0.0000, Epsilon: 0.431
Episode 169, Reward: -45.00, Loss: 0.0000, Epsilon: 0.429
Episode 170, Reward: -22.00, Loss: 0.0000, Epsilon: 0.427
Episode 171, Reward: -50.00, Loss: 0.0000, Epsilon: 0.424
Episode 172, Reward: -24.00, Loss: 0.0000, Epsilon: 0.422
Episode 173, Reward: -26.00, Loss: 0.0000, Epsilon: 0.420
Episode 174, Reward: -36.00, Loss: 0.0000, Epsilon: 0.418
Episode 175, Reward: -55.00, Loss: 0.0000, Epsilon: 0.416
Episode 176, Reward: -22.00, Loss: 0.0000, Epsilon: 0.414
Episode 177, Reward: -55.00, Loss: 0.0000, Epsilon: 0.412
Episode 178, Reward: -14.00, Loss: 0.0000, Epsilon: 0.410
Episode 179, Reward: -3.00, Loss: 0.0000, Epsilon: 0.408
Episode 180, Reward: -45.00, Loss: 0.0000, Epsilon: 0.406
Episode 181, Reward: -47.00, Loss: 0.0000, Epsilon: 0.404
Episode 182, Reward: -11.00, Loss: 0.0000, Epsilon: 0.402
Episode 183, Reward: -47.00, Loss: 0.0000, Epsilon: 0.400
Episode 184, Reward: -6.00, Loss: 0.0000, Epsilon: 0.398
Episode 185, Reward: -43.00, Loss: 0.0000, Epsilon: 0.396
Episode 186, Reward: -15.00, Loss: 0.0000, Epsilon: 0.394
Episode 187, Reward: -24.00, Loss: 0.0000, Epsilon: 0.392
Episode 188, Reward: -37.00, Loss: 0.0000, Epsilon: 0.390
Episode 189, Reward: -19.00, Loss: 0.0000, Epsilon: 0.388
Episode 190, Reward: -19.00, Loss: 0.0000, Epsilon: 0.386
Episode 191, Reward: -44.00, Loss: 0.0000, Epsilon: 0.384
Episode 192, Reward: -54.00, Loss: 0.0000, Epsilon: 0.382
Episode 193, Reward: -26.00, Loss: 0.0000, Epsilon: 0.380
Episode 194, Reward: -41.00, Loss: 0.0000, Epsilon: 0.378
Episode 195, Reward: -18.00, Loss: 0.0000, Epsilon: 0.376
Episode 196, Reward: -18.00, Loss: 0.0000, Epsilon: 0.374
Episode 197, Reward: -21.00, Loss: 0.0000, Epsilon: 0.373
Episode 198, Reward: -35.00, Loss: 0.0000, Epsilon: 0.371
Episode 199, Reward: -41.00, Loss: 0.0000, Epsilon: 0.369
Episode 200, Reward: -18.00, Loss: 0.0000, Epsilon: 0.367
Episode 201, Reward: -24.00, Loss: 0.0000, Epsilon: 0.365
Episode 202, Reward: -15.00, Loss: 0.0000, Epsilon: 0.363
Episode 203, Reward: -12.00, Loss: 0.0000, Epsilon: 0.361
Episode 204, Reward: -24.00, Loss: 0.0000, Epsilon: 0.360
Episode 205, Reward: -25.00, Loss: 0.0000, Epsilon: 0.358
Episode 206, Reward: -18.00, Loss: 0.0000, Epsilon: 0.356
Episode 207, Reward: -33.00, Loss: 0.0000, Epsilon: 0.354
Episode 208, Reward: -33.00, Loss: 0.0000, Epsilon: 0.353
Episode 209, Reward: -42.00, Loss: 0.0000, Epsilon: 0.351
Episode 210, Reward: -9.00, Loss: 0.0000, Epsilon: 0.349
Episode 211, Reward: -32.00, Loss: 0.0000, Epsilon: 0.347
Episode 212, Reward: -5.00, Loss: 0.0000, Epsilon: 0.346
Episode 213, Reward: -15.00, Loss: 0.0000, Epsilon: 0.344
Episode 214, Reward: -22.00, Loss: 0.0000, Epsilon: 0.342
Episode 215, Reward: -38.00, Loss: 0.0000, Epsilon: 0.340
Episode 216, Reward: -25.00, Loss: 0.0000, Epsilon: 0.339
Episode 217, Reward: -6.00, Loss: 0.0000, Epsilon: 0.337
Episode 218, Reward: -29.00, Loss: 0.0000, Epsilon: 0.335
Episode 219, Reward: -8.00, Loss: 0.0000, Epsilon: 0.334
Episode 220, Reward: -17.00, Loss: 0.0000, Epsilon: 0.332
Episode 221, Reward: -10.00, Loss: 0.0000, Epsilon: 0.330
Episode 222, Reward: -24.00, Loss: 0.0000, Epsilon: 0.329
Episode 223, Reward: -7.00, Loss: 0.0000, Epsilon: 0.327
Episode 224, Reward: -31.00, Loss: 0.0000, Epsilon: 0.325
Episode 225, Reward: -8.00, Loss: 0.0000, Epsilon: 0.324
Episode 226, Reward: -8.00, Loss: 0.0000, Epsilon: 0.322
Episode 227, Reward: -20.00, Loss: 0.0000, Epsilon: 0.321
Episode 228, Reward: -33.00, Loss: 0.0000, Epsilon: 0.319
Episode 229, Reward: -25.00, Loss: 0.0000, Epsilon: 0.317
Episode 230, Reward: -10.00, Loss: 0.0000, Epsilon: 0.316
Episode 231, Reward: -33.00, Loss: 0.0000, Epsilon: 0.314
Episode 232, Reward: -3.00, Loss: 0.0000, Epsilon: 0.313
Episode 233, Reward: -19.00, Loss: 0.0000, Epsilon: 0.311
Episode 234, Reward: -19.00, Loss: 0.0000, Epsilon: 0.309
Episode 235, Reward: -16.00, Loss: 0.0000, Epsilon: 0.308
Episode 236, Reward: -15.00, Loss: 0.0000, Epsilon: 0.306
Episode 237, Reward: -25.00, Loss: 0.0000, Epsilon: 0.305
Episode 238, Reward: -10.00, Loss: 0.0000, Epsilon: 0.303
Episode 239, Reward: -18.00, Loss: 0.0000, Epsilon: 0.302
Episode 240, Reward: -17.00, Loss: 0.0000, Epsilon: 0.300
Episode 241, Reward: -10.00, Loss: 0.0000, Epsilon: 0.299
Episode 242, Reward: -21.00, Loss: 0.0000, Epsilon: 0.297
Episode 243, Reward: -6.00, Loss: 0.0000, Epsilon: 0.296
Episode 244, Reward: -22.00, Loss: 0.0000, Epsilon: 0.294
Episode 245, Reward: -45.00, Loss: 0.0000, Epsilon: 0.293
Episode 246, Reward: -14.00, Loss: 0.0000, Epsilon: 0.291
Episode 247, Reward: -13.00, Loss: 0.0000, Epsilon: 0.290
Episode 248, Reward: -22.00, Loss: 0.0000, Epsilon: 0.288
Episode 249, Reward: -13.00, Loss: 0.0000, Epsilon: 0.287
Episode 250, Reward: -5.00, Loss: 0.0000, Epsilon: 0.286
Episode 251, Reward: -4.00, Loss: 0.0000, Epsilon: 0.284
Episode 252, Reward: -16.00, Loss: 0.0000, Epsilon: 0.283
Episode 253, Reward: -13.00, Loss: 0.0000, Epsilon: 0.281
Episode 254, Reward: -3.00, Loss: 0.0000, Epsilon: 0.280
Episode 255, Reward: -11.00, Loss: 0.0000, Epsilon: 0.279
Episode 256, Reward: -23.00, Loss: 0.0000, Epsilon: 0.277
Episode 257, Reward: -17.00, Loss: 0.0000, Epsilon: 0.276
Episode 258, Reward: -3.00, Loss: 0.0000, Epsilon: 0.274
Episode 259, Reward: -16.00, Loss: 0.0000, Epsilon: 0.273
Episode 260, Reward: -6.00, Loss: 0.0000, Epsilon: 0.272
Episode 261, Reward: -16.00, Loss: 0.0000, Epsilon: 0.270
Episode 262, Reward: -12.00, Loss: 0.0000, Epsilon: 0.269
Episode 263, Reward: -40.00, Loss: 0.0000, Epsilon: 0.268
Episode 264, Reward: -10.00, Loss: 0.0000, Epsilon: 0.266
Episode 265, Reward: -14.00, Loss: 0.0000, Epsilon: 0.265
Episode 266, Reward: -8.00, Loss: 0.0000, Epsilon: 0.264
Episode 267, Reward: -11.00, Loss: 0.0000, Epsilon: 0.262
Episode 268, Reward: -12.00, Loss: 0.0000, Epsilon: 0.261
Episode 269, Reward: -25.00, Loss: 0.0000, Epsilon: 0.260
Episode 270, Reward: -8.00, Loss: 0.0000, Epsilon: 0.258
Episode 271, Reward: -23.00, Loss: 0.0000, Epsilon: 0.257
Episode 272, Reward: -30.00, Loss: 0.0000, Epsilon: 0.256
Episode 273, Reward: -28.00, Loss: 0.0000, Epsilon: 0.255
Episode 274, Reward: -4.00, Loss: 0.0000, Epsilon: 0.253
Episode 275, Reward: -25.00, Loss: 0.0000, Epsilon: 0.252
Episode 276, Reward: -17.00, Loss: 0.0000, Epsilon: 0.251
Episode 277, Reward: -16.00, Loss: 0.0000, Epsilon: 0.249
Episode 278, Reward: -4.00, Loss: 0.0000, Epsilon: 0.248
Episode 279, Reward: -13.00, Loss: 0.0000, Epsilon: 0.247
Episode 280, Reward: -25.00, Loss: 0.0000, Epsilon: 0.246
Episode 281, Reward: -22.00, Loss: 0.0000, Epsilon: 0.245
Episode 282, Reward: -22.00, Loss: 0.0000, Epsilon: 0.243
Episode 283, Reward: -8.00, Loss: 0.0000, Epsilon: 0.242
Episode 284, Reward: -20.00, Loss: 0.0000, Epsilon: 0.241
Episode 285, Reward: -10.00, Loss: 0.0000, Epsilon: 0.240
Episode 286, Reward: -8.00, Loss: 0.0000, Epsilon: 0.238
Episode 287, Reward: -14.00, Loss: 0.0000, Epsilon: 0.237
Episode 288, Reward: -18.00, Loss: 0.0000, Epsilon: 0.236
Episode 289, Reward: -21.00, Loss: 0.0000, Epsilon: 0.235
Episode 290, Reward: -10.00, Loss: 0.0000, Epsilon: 0.234
Episode 291, Reward: -3.00, Loss: 0.0000, Epsilon: 0.233
Episode 292, Reward: -3.00, Loss: 0.0000, Epsilon: 0.231
Episode 293, Reward: -3.00, Loss: 0.0000, Epsilon: 0.230
Episode 294, Reward: -13.00, Loss: 0.0000, Epsilon: 0.229
Episode 295, Reward: -8.00, Loss: 0.0000, Epsilon: 0.228
Episode 296, Reward: -28.00, Loss: 0.0000, Epsilon: 0.227
Episode 297, Reward: -15.00, Loss: 0.0000, Epsilon: 0.226
Episode 298, Reward: -32.00, Loss: 0.0000, Epsilon: 0.225
Episode 299, Reward: -5.00, Loss: 0.0001, Epsilon: 0.223
Episode 300, Reward: -9.00, Loss: 0.0001, Epsilon: 0.222
Episode 301, Reward: -14.00, Loss: 0.0001, Epsilon: 0.221
Episode 302, Reward: -13.00, Loss: 0.0001, Epsilon: 0.220
Episode 303, Reward: -5.00, Loss: 0.0002, Epsilon: 0.219
Episode 304, Reward: -4.00, Loss: 0.0004, Epsilon: 0.218
Episode 305, Reward: -17.00, Loss: 0.0007, Epsilon: 0.217
Episode 306, Reward: -18.00, Loss: 0.0006, Epsilon: 0.216
Episode 307, Reward: -22.00, Loss: 0.0005, Epsilon: 0.215
Episode 308, Reward: -19.00, Loss: 0.0003, Epsilon: 0.214
Episode 309, Reward: -8.00, Loss: 0.0001, Epsilon: 0.212
Episode 310, Reward: -27.00, Loss: 0.0001, Epsilon: 0.211
Episode 311, Reward: -10.00, Loss: 0.0002, Epsilon: 0.210
Episode 312, Reward: -24.00, Loss: 0.0002, Epsilon: 0.209
Episode 313, Reward: -8.00, Loss: 0.0001, Epsilon: 0.208
Episode 314, Reward: -9.00, Loss: 0.0001, Epsilon: 0.207
Episode 315, Reward: -6.00, Loss: 0.0001, Epsilon: 0.206
Episode 316, Reward: -23.00, Loss: 0.0001, Epsilon: 0.205
Episode 317, Reward: -14.00, Loss: 0.0001, Epsilon: 0.204
Episode 318, Reward: -9.00, Loss: 0.0001, Epsilon: 0.203
Episode 319, Reward: -3.00, Loss: 0.0001, Epsilon: 0.202
Episode 320, Reward: -12.00, Loss: 0.0000, Epsilon: 0.201
Episode 321, Reward: -11.00, Loss: 0.0000, Epsilon: 0.200
Episode 322, Reward: -16.00, Loss: 0.0003, Epsilon: 0.199
Episode 323, Reward: -14.00, Loss: 0.0002, Epsilon: 0.198
Episode 324, Reward: -8.00, Loss: 0.0002, Epsilon: 0.197
Episode 325, Reward: -3.00, Loss: 0.0001, Epsilon: 0.196
Episode 326, Reward: -13.00, Loss: 0.0001, Epsilon: 0.195
Episode 327, Reward: -21.00, Loss: 0.0001, Epsilon: 0.194
Episode 328, Reward: -5.00, Loss: 0.0002, Epsilon: 0.193
Episode 329, Reward: -8.00, Loss: 0.0003, Epsilon: 0.192
Episode 330, Reward: -21.00, Loss: 0.0003, Epsilon: 0.191
Episode 331, Reward: -24.00, Loss: 0.0002, Epsilon: 0.190
Episode 332, Reward: -13.00, Loss: 0.0005, Epsilon: 0.189
Episode 333, Reward: -4.00, Loss: 0.0004, Epsilon: 0.188
Episode 334, Reward: -3.00, Loss: 0.0002, Epsilon: 0.187
Episode 335, Reward: -8.00, Loss: 0.0002, Epsilon: 0.187
Episode 336, Reward: -10.00, Loss: 0.0004, Epsilon: 0.186
Episode 337, Reward: -4.00, Loss: 0.0005, Epsilon: 0.185
Episode 338, Reward: -3.00, Loss: 0.0003, Epsilon: 0.184
Episode 339, Reward: -5.00, Loss: 0.0002, Epsilon: 0.183
Episode 340, Reward: -5.00, Loss: 0.0001, Epsilon: 0.182
Episode 341, Reward: -10.00, Loss: 0.0001, Epsilon: 0.181
Episode 342, Reward: -13.00, Loss: 0.0003, Epsilon: 0.180
Episode 343, Reward: -4.00, Loss: 0.0002, Epsilon: 0.179
Episode 344, Reward: -28.00, Loss: 0.0004, Epsilon: 0.178
Episode 345, Reward: -4.00, Loss: 0.0007, Epsilon: 0.177
Episode 346, Reward: -3.00, Loss: 0.0006, Epsilon: 0.177
Episode 347, Reward: -4.00, Loss: 0.0005, Epsilon: 0.176
Episode 348, Reward: -9.00, Loss: 0.0004, Epsilon: 0.175
Episode 349, Reward: -13.00, Loss: 0.0002, Epsilon: 0.174
Episode 350, Reward: -13.00, Loss: 0.0003, Epsilon: 0.173
Episode 351, Reward: -9.00, Loss: 0.0002, Epsilon: 0.172
Episode 352, Reward: -9.00, Loss: 0.0004, Epsilon: 0.171
Episode 353, Reward: -14.00, Loss: 0.0004, Epsilon: 0.170
Episode 354, Reward: -6.00, Loss: 0.0003, Epsilon: 0.170
Episode 355, Reward: -18.00, Loss: 0.0002, Epsilon: 0.169
Episode 356, Reward: -8.00, Loss: 0.0002, Epsilon: 0.168
Episode 357, Reward: -13.00, Loss: 0.0002, Epsilon: 0.167
Episode 358, Reward: -32.00, Loss: 0.0003, Epsilon: 0.166
Episode 359, Reward: -9.00, Loss: 0.0002, Epsilon: 0.165
Episode 360, Reward: -14.00, Loss: 0.0001, Epsilon: 0.165
Episode 361, Reward: -8.00, Loss: 0.0001, Epsilon: 0.164
Episode 362, Reward: -10.00, Loss: 0.0005, Epsilon: 0.163
Episode 363, Reward: -10.00, Loss: 0.0004, Epsilon: 0.162
Episode 364, Reward: -25.00, Loss: 0.0003, Epsilon: 0.161
Episode 365, Reward: -11.00, Loss: 0.0003, Epsilon: 0.160
Episode 366, Reward: -21.00, Loss: 0.0002, Epsilon: 0.160
Episode 367, Reward: -8.00, Loss: 0.0002, Epsilon: 0.159
Episode 368, Reward: -10.00, Loss: 0.0001, Epsilon: 0.158
Episode 369, Reward: -11.00, Loss: 0.0001, Epsilon: 0.157
Episode 370, Reward: -3.00, Loss: 0.0001, Epsilon: 0.157
Episode 371, Reward: -9.00, Loss: 0.0001, Epsilon: 0.156
Episode 372, Reward: -13.00, Loss: 0.0006, Epsilon: 0.155
Episode 373, Reward: -8.00, Loss: 0.0004, Epsilon: 0.154
Episode 374, Reward: -3.00, Loss: 0.0004, Epsilon: 0.153
Episode 375, Reward: -12.00, Loss: 0.0004, Epsilon: 0.153
Episode 376, Reward: -15.00, Loss: 0.0003, Epsilon: 0.152
Episode 377, Reward: -4.00, Loss: 0.0004, Epsilon: 0.151
Episode 378, Reward: -8.00, Loss: 0.0003, Epsilon: 0.150
Episode 379, Reward: -9.00, Loss: 0.0003, Epsilon: 0.150
Episode 380, Reward: -6.00, Loss: 0.0003, Epsilon: 0.149
Episode 381, Reward: -8.00, Loss: 0.0002, Epsilon: 0.148
Episode 382, Reward: -8.00, Loss: 0.0003, Epsilon: 0.147
Episode 383, Reward: -5.00, Loss: 0.0003, Epsilon: 0.147
Episode 384, Reward: -6.00, Loss: 0.0002, Epsilon: 0.146
Episode 385, Reward: -3.00, Loss: 0.0003, Epsilon: 0.145
Episode 386, Reward: -10.00, Loss: 0.0002, Epsilon: 0.144
Episode 387, Reward: -9.00, Loss: 0.0001, Epsilon: 0.144
